cid,顧客名,plan,所在,cid_source
c75cf4d3-2041-4ccc-8ad5-aabf49176f2f,株式会社 フェールズホーム,Plus,363-0014 埼玉県桶川市神明1-4-6,SF元データ
c825f086-dc8d-4d17-b02a-0faa49fe3fb8,菊島建設 株式会社,Plus,192-0045 東京都八王子市大和田町7-3-12,高（名前+都道府県+市区）
9327dea7-5822-48e4-9c5f-27e44b360b0f,有限会社 サンワ電気,Plus,366-0016 埼玉県深谷市新井469,SF元データ
d07c6aa3-d1aa-475e-b500-aa2dc9b28a47,土筆工業 株式会社,Plus,120-0005 東京都足立区綾瀬2-24-8 日興パレス綾瀬307,SF元データ
243c74ae-ae0c-4615-a2ae-2937bc268b4c,I.J.U 株式会社,Plus,274-0072 千葉県船橋市三山1-5-17,SF元データ
7cc5c11d-8bdb-4f96-bac9-50b6a361f7fe,株式会社 イーズテック,Plus,290-0013 千葉県市原市郡本3-126-1,SF元データ
7ad3f874-2f84-48ef-9dd3-4562f424a91b,株式会社 大翔,Plus,351-0031 埼玉県朝霞市宮戸3-5-6,高（名前+都道府県+市区）
765ca6f2-97e2-4b4c-b6c7-c963770a59ca,株式会社 makiden,Plus,373-0008 群馬県太田市鶴生田町757-1,SF元データ
,株式会社 形山工務店,Plus,116-0001 東京都荒川区町屋425-9,未マッチ
4d92dd3e-449f-45cb-9f88-58d064c08938,株式会社 岡田電気,Plus,静岡県静岡市葵区北安東2-12-31,SF元データ
f559c6c8-7696-48c5-a773-105bf3cf3c53,有限会社 スバル電業,Plus,343-0035 埼玉県越谷市大道22,高（名前+都道府県+市区）
d5c53e63-eb65-4e57-ab4e-38dccfc19ecc,株式会社 K-SINエンジニアリング,Plus,710-0151 岡山県岡山市南区植松545-4,SF元データ
0b595656-0394-41ed-9b32-464c05b9b5a1,株式会社 松電工舎,Plus,591-8002 大阪府堺市北区北花田町4-109-7,高（名前+都道府県+市区）
565fb131-ca7c-4f80-834c-2a33f15ab8a2,TSCアート 株式会社,Plus,765-0033 香川県善通寺市木徳町36-4,SF元データ
62bb9dee-037d-4815-b2be-a8db584e7ca2,株式会社 アルミック,Plus,360-0022 埼玉県熊谷市戸出542,高（名前+都道府県+市区）
74a1d020-1865-47f2-9c33-2058c00ccc17,有限会社 伸晃興業,Plus,564-0036 大阪府吹田市寿町2-5-23,SF元データ
505a3e4e-48ba-40e7-a069-050a04a7d433,有限会社 新田防災,Plus,260-0802 千葉県千葉市中央区川戸町529-3,SF元データ
b5e30cba-69e7-43d9-821b-af05e99a6347,ヤマシタ工業 株式会社,Plus,272-0831 千葉県市川市稲越3-26-25,SF元データ
fee89395-1591-420c-b4d8-ae5a2b85d5c3,NHS 株式会社,Plus,338-0825 埼玉県さいたま市桜区下大久保400-1,SF元データ
27ef1bb2-6c60-4faf-b9ec-6d05865ba7b4,株式会社 Booker's Home,Plus,441-8087 愛知県豊橋市牟呂町字八王子88-1,SF元データ
83b01d31-3432-4ce5-aa83-2cd6621efa87,株式会社 CABON,Plus,134-0084 東京都江戸川区東葛西5-11-1 第3西野ビル 1F,SF元データ
2c7889e1-9254-44ab-88c8-5caa98133413,株式会社 EXCEED,Plus,558-0047 大阪府大阪市住吉区千躰1-4-32 1F,SF元データ
a6117b83-db10-4a22-9786-a7ece92e5440,株式会社 TASUKU,Plus,292-0834 千葉県木更津市潮見4-3-4,SF元データ
01acd091-3bf6-4b8d-9384-4294cf2424d3,株式会社 TRI-ACE,Plus,870-0855 大分県大分市豊饒3-11-68,SF元データ
849e4cea-a828-408e-84f4-a9e3706527d4,株式会社 アースライン,Plus,812-0893 福岡県福岡市博多区那珂1-3-37,SF元データ
6dd861c4-76a4-4ff8-ad2a-bac9a4ffd811,株式会社 アールペア,Plus,252-0231 神奈川県相模原市中央区相模原5-9-3-2F,SF元データ
bf0ad192-7f68-47d1-8e17-6f329341452d,株式会社 未来クリエイト,Plus,731-3167 広島県広島市安佐南区大塚西3-3-17,SF元データ
36a660d2-73e7-4c5e-a2e5-c8de81c59ea0,枦建設 株式会社,Plus,590-0835 大阪府堺市堺区西湊町6-7-20-2,SF元データ
221be67c-71db-49dc-8867-94b07aba1eb2,有限会社 日栄フロント,Plus,183-0034 東京都府中市住吉町3-79-1,SF元データ
,株式会社 ケンコウシャ,Plus,577-0066 大阪府東大阪市高井田本通1-8-11,未マッチ
f508909e-a244-4002-aa8c-931d2fd19e61,中山組 株式会社,Plus,847-1432 佐賀県東松浦郡玄海町平尾845,SF元データ
927f6303-a641-4e71-baf9-9ae74b8b3471,株式会社 スフィーダ,Plus,194-0043 東京都町田市成瀬台2-35-58,SF元データ
1c10187b-a743-4311-b5f4-4adb92f93bd0,株式会社 ビーアイジー,Plus,654-0121 兵庫県神戸市須磨区妙法寺字風早1227-6,SF元データ
,千曲ホールディングス 株式会社,Plus,340-0802 埼玉県八潮市鶴ケ曽根1370-1,未マッチ
d61ee52d-3014-4e66-99a8-ee0f782b8ce9,株式会社 まことサービス,Plus,702-8002 岡山県岡山市中区桑野517-3,SF元データ
3d9c7b57-a559-44c2-a847-81679ec6a658,株式会社 リフォームの松もと,Plus,462-0014 愛知県名古屋市北区楠味鋺3-2701,SF元データ
c1c80aec-1142-4b25-b3df-9c43b2582b04,株式会社 阿部土木建設,Plus,340-0824 埼玉県八潮市垳525-3,SF元データ
7c99129c-8001-455c-a9a4-e1f4873279e4,株式会社 金本商会,Plus,731-0221 広島県広島市安佐北区可部9-1-23,高（名前+都道府県+市区）
7cad5c0e-0e28-48f8-9ba8-ddf20885d6e1,株式会社 健装,Plus,955-0057 新潟県三条市新光町26-57-3,SF元データ
c3de59f1-1f57-4633-9b32-9d651435156b,株式会社 高岡冷機,Plus,768-0067 香川県観音寺市坂本町3-8-30,高（名前+都道府県+市区）
ca47c275-6110-4242-9c71-3dca3e519c08,株式会社 城工業,Plus,599-8237 大阪府堺市中区深井水池町3377,高（名前+都道府県+市区）
212a5916-5956-4505-8f97-dc6a9a7d0cb5,株式会社 成了エレクトライン,Plus,425-0017 静岡県焼津市八楠4-27-3,SF元データ
11fef079-d4c3-4457-8734-6ab001b0358b,株式会社 善興業,Plus,536-0023 大阪府大阪市城東区東中浜1-4-13,高（名前+都道府県+市区）
1867da4c-2f1d-4314-ad2f-624cfbb09821,株式会社 村上総設工業,Plus,284-0016 千葉県四街道市もねの里3-14-6,SF元データ
39d12c07-dfb2-4027-979c-cad9a9480492,株式会社 灯,Plus,739-1733 広島県広島市安佐北区口田南3-43-35,SF元データ
7f3a0a3b-79d8-4b5a-9d26-86afe6c3b487,株式会社 板屋建設,Plus,434-0024 静岡県浜松市浜北区竜南320,高（名前+都道府県+市区）
833377c7-1a71-4c5a-a41f-9a7bf01b5cc8,株式会社 美喜工務店,Plus,381-3302 長野県上水内郡小川村高府13006-1,SF元データ
15fdeab6-4e9e-4ecf-aee6-7ca5a9605c17,株式会社 野平組,Plus,647-0032 和歌山県新宮市王子町3-9-10,SF元データ
