company_name,ステータス,利用頻度,スコア
有限会社　新田防災,fan,good,8.0
株式会社 喜一建設,proactive,normal,2.0
株式会社伸光,proactive,normal,2.0
丸正建設株式会社,onboarding,bad,0.0
有限会社 恵那建設,onboarding,bad,0.0
有限会社中川デンキ,onboarding,bad,0.0
株式会社 Crowe,onboarding,bad,0.0
株式会社SKネオ,onboarding,bad,0.0
株式会社南山建設,onboarding,bad,0.0
株式会社吉川電気工事,onboarding,bad,0.0
佐原工務店株式会社,passive,normal,3.0
有限会社成瀬工務店,passive,normal,2.0
株式会社健装,passive,normal,2.0
株式会社 エイワークス,passive,bad,1.0
株式会社 大翔,passive,bad,1.0
株式会社　アスタ,passive,bad,1.0
ANDOsurprise株式会社,passive,bad,0.0
ミナモト工業 株式会社,passive,bad,0.0
ミヤモトホーム株式会社,passive,bad,0.0
ヤマシタ工業 株式会社,passive,bad,0.0
ヨネハラ空設 株式会社,passive,bad,0.0
ワタヨシ建設 株式会社,passive,bad,0.0
一恵住宅サービ ス株式会社,passive,bad,0.0
三和水工株式会社,passive,bad,0.0
中山組 株式会社,passive,bad,0.0
NHS株式会社,passive,bad,0.0
井戸と温泉のアリスト,passive,bad,0.0
カセツ工機株式会社,passive,bad,0.0
信栄電設株式会社,passive,bad,0.0
前田建設 株式会社,passive,bad,0.0
千代田建設株式会社,passive,bad,0.0
合同会社ショップデザイン,passive,bad,0.0
和田電気工事株式会社,passive,bad,0.0
國分住設 株式会社,passive,bad,0.0
土筆工業株式会社,passive,bad,0.0
塚本建設 株式会社,passive,bad,0.0
多久建設株式会社,passive,bad,0.0
大平工業株式会社,passive,bad,0.0
季鋏造園土木,passive,bad,0.0
小原塗装,passive,bad,0.0
庄司鳶工業 株式会社,passive,bad,0.0
新栄重機土木 株式会社,passive,bad,0.0
日東機工 株式会社,passive,bad,0.0
日産設備株式会社,passive,bad,0.0
日舗建設株式会社,passive,bad,0.0
明成工業株式会社,passive,bad,0.0
有限会社 アペックス,passive,bad,0.0
有限会社 カクイチ,passive,bad,0.0
有限会社 サンワ電気,passive,bad,0.0
有限会社 スバル電業,passive,bad,0.0
有限会社 ツカサ,passive,bad,0.0
有限会社 テップ,passive,bad,0.0
有限会社 伸晃興業,passive,bad,0.0
有限会社 小峰電気,passive,bad,0.0
あーち 株式会社,passive,bad,0.0
有限会社 木村興業,passive,bad,0.0
有限会社 林明工業,passive,bad,0.0
有限会社 栄城建装,passive,bad,0.0
有限会社 湘技建,passive,bad,0.0
有限会社 藤倉保温工業,passive,bad,0.0
有限会社 進光,passive,bad,0.0
有限会社 金子建設,passive,bad,0.0
FIVESTAR,passive,bad,0.0
有限会社　日栄フロント,passive,bad,0.0
有限会社アルプス塗装工業,passive,bad,0.0
有限会社カネコ建装,passive,bad,0.0
有限会社サワケン,passive,bad,0.0
